EPAV,ISCN,PACC,PAGE,PAGI,PAWR,PBCV,PBKT,PBSG,PBSK,PCAR,PCMT,PCOL,PCON,PCSA,PCTH,PCYL,PDPI,PDRO,PDRR,PEGO,PELU,PEPS,PFMS,PFNA,PGHE,PGID,PHGT,PHSN,PHTN,PIMP,PINJ,PJEN,PJMP,PKAC,PKPR,PKRT,PLBD,PLBK,PLCI,PLCP,PLHT,PLHY,PLIB,PLJM,PLMC,PLMO,PLNA,PLPE,PLPL,PLPM,PLPO,PLPR,PLPU,PLRL,PLSA,PLSC,PLSM,PLTR,PLZC,PMRR,POID,POVR,PPBF,PPBK,PPBS,PPLA,PQBS,PRBF,PRBK,PRBS,PRSE,PSA0,PSA1,PSA2,PSB0,PSB1,PSBO,PSKI,PSPD,PSTA,PSTM,PSTN,PSTR,PSXP,PTAD,PTAK,PTAM,PTAS,PTEN,PTGH,PTHA,PTHP,PTOR,PTSA,PTUP,PVCO,PVSB,PVTS,PWGT,PYCF,PYRP,SRRN,TGID,TRBH,TRBR,TRCB,TRCL,TRDO,TRDS,TRFB,TRFK,TRFY,TRHM,TRJR,TRSB,TRSW,TRTA,TRTL,TRTS,TRWU,PLTY,PPOS,PYWT,PLDT,PCPH,PROL,PCBT,PSA3,PSB2,PSB3,PICN,PHAN,PSA4,PSB4,PSA5,PSA6,PSB5,PSB6,PSTY
1,0,71,28,62,56,10,5,24,15,20,4234,242,0,103,18,0,511,63,15,30,54,RomoJohnParker_1069,10,John Parker,34,1069,71,9,Peachtree City,10,85,39,49,76,94,10,50105,16,15,0,13,-31,16,10,11,1,Romo,10,100,10,99,17,29,15,10,15,10,10,17,15,1069,71,17,17,17,15,0,16,16,16,5,0,0,0,0,0,0,2,75,80,50,0,38,10436,12,26,15,32,1,83,45,26,15,0,16,0,0,0,15,50,2,15,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,0,76,25,59,78,30,20,30,7,25,5214,165,4,130,35,3,4,3,21,62,49,WallaceCaedan_1070,45,Caedan,147,1070,77,29,Robbinsville,10,89,70,76,15,17,10,37308,77,21,0,45,-31,82,16,11,1,Wallace,12,100,50,99,20,27,25,31,22,15,32,11,22,1070,69,72,71,68,7,0,72,75,70,15,75,101,127,29,29,116,2,67,85,80,0,87,10282,11,44,12,13,1,89,26,21,6,456,7,4,116,456,154,50,1,24,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,6,1,22,0,0,2,153,29,29,0,0,0,0,0,0,0,0,0
6,0,74,23,69,69,30,20,30,12,32,9047,262,4,126,37,3,11,3,14,15,55,AmegadjieKiran_1071,21,Kiran,269,1071,77,12,Hinsdale,10,91,72,72,25,25,10,2238,82,34,0,35,-31,82,15,15,1,Amegadjie,11,100,36,99,20,27,25,34,32,15,40,14,21,1071,69,70,72,72,13,0,73,73,72,15,75,100,116,26,26,104,1,70,83,1,0,88,9999,19,33,21,25,1,79,26,24,12,442,11,4,104,442,166,50,1,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,8,1,1,0,0,2,151,26,26,0,0,0,0,0,0,0,0,0
5,0,88,23,82,50,69,67,37,12,75,9100,85,4,125,79,3,18,3,48,44,75,ReimanTip_1072,17,Tip,24,1072,76,40,Rapid City,10,88,87,84,19,21,18,35901,62,78,0,41,-31,64,62,14,1,Reiman,17,100,17,99,17,34,61,62,73,58,66,21,53,1072,65,58,62,62,6,0,63,66,67,11,75,100,125,25,25,100,1,84,81,10,0,77,10225,6,34,10,15,1,87,18,28,10,450,15,4,100,450,111,50,1,60,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,4,1,7,0,0,2,150,25,25,0,0,0,0,0,0,0,0,0
6,0,63,36,55,78,15,10,77,12,40,2489,71,1,300,30,1,20,3,3,84,42,JenkinsJohn_1073,55,John,266,1073,75,6,Meriden,10,84,94,63,17,23,10,23345,35,15,0,81,-31,88,10,10,1,Jenkins,10,100,73,99,79,76,15,25,15,10,45,15,7,1073,75,45,45,45,6,0,45,45,45,5,121,0,0,179,0,179,2,71,71,30,0,90,5895,6,87,6,6,1,76,18,25,6,121,10,1,179,121,167,50,12,15,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
3,0,93,25,82,61,70,65,43,21,57,2512,21,4,85,77,3,27,3,10,65,86,JonesElijah_1074,35,Elijah,227,1074,73,31,Harlem,10,88,28,96,10,11,35,16444,14,65,0,63,-31,55,71,73,1,Jones,74,100,29,99,60,74,15,47,72,66,33,68,16,1074,71,19,26,15,14,0,26,34,25,3,75,85,98,5,0,5,1,91,85,35,0,48,10132,15,65,19,21,1,84,21,23,23,361,12,4,5,361,25,50,1,23,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54,16,1,7,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0
5,0,90,24,79,76,52,34,74,22,27,2379,491,4,121,30,3,31,3,5,22,72,HuntJalyx_1076,73,Jalyx,221,1076,75,8,Debary,10,90,58,89,12,14,10,26941,25,45,0,74,-31,77,48,56,1,Hunt,46,100,77,99,75,80,15,45,47,45,44,58,7,1076,74,40,40,40,6,0,45,45,45,3,75,99,124,22,22,88,1,84,78,10,0,77,10112,6,79,6,6,1,83,19,30,6,446,12,4,88,446,92,50,1,10,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,11,1,13,0,0,2,148,22,22,0,0,0,0,0,0,0,0,0
1,0,90,24,81,74,65,63,61,15,61,5346,161,4,116,68,3,11,4,18,83,85,WilliamsEvan_1080,54,Evan,77,1080,71,4,Los Gatos,10,90,33,94,23,25,50,58173,35,56,0,80,-31,63,70,74,1,Williams,66,100,45,99,76,80,30,46,64,65,51,75,23,1080,76,22,25,25,15,0,30,30,30,3,76,96,107,20,20,80,1,86,85,10,0,62,10297,10,74,10,15,1,88,29,25,15,398,16,4,80,398,40,50,1,25,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60,17,1,20,0,0,0,119,20,20,0,0,0,0,0,0,0,0,0
1,0,92,24,85,57,65,62,52,10,52,4161,55,4,110,55,3,12,4,26,84,86,RichardsonDecamerion_1082,33,Decamerion,162,1082,74,17,Cullen,10,90,25,84,12,11,59,33085,14,47,0,62,-31,51,71,66,1,Richardson,75,100,26,99,55,75,33,34,50,69,35,70,31,1082,69,22,31,23,13,0,25,35,24,3,75,91,103,19,19,76,1,94,87,25,0,52,10227,15,77,22,23,1,88,35,24,16,383,15,4,76,383,35,50,1,36,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,16,1,23,0,0,0,114,19,19,0,0,0,0,0,0,0,0,0
6,0,79,25,61,74,24,10,35,12,20,6727,178,4,109,26,3,19,4,5,75,61,McCormickMason_1083,20,Mason,54,1083,77,40,Sioux Falls,10,90,66,85,19,19,10,51772,79,15,0,35,-31,84,30,10,1,McCormick,10,100,30,99,24,32,11,36,15,25,33,10,7,1083,77,77,80,82,8,0,79,80,81,5,75,91,103,18,18,72,2,70,79,0,0,90,10170,6,37,7,9,1,87,25,28,6,383,12,4,72,383,155,50,1,10,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,8,1,29,0,0,3,114,18,18,0,0,0,0,0,0,0,0,0
6,0,75,24,50,49,38,37,39,17,44,8904,445,4,80,37,3,26,4,22,50,52,ManuGiovanni_1084,23,Giovanni,119,1084,79,50,Pitt Meadows,10,89,59,81,15,21,10,53309,84,39,0,49,-31,82,23,7,1,Manu,8,100,41,99,16,42,28,51,35,21,45,7,23,1084,67,65,69,74,6,0,75,76,77,15,61,78,90,2,2,8,2,70,79,10,0,86,10414,9,43,12,15,1,87,24,29,6,330,15,4,8,330,194,50,1,24,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,5,1,19,0,0,2,101,2,2,0,0,0,0,0,0,0,0,0
1,0,93,23,85,79,61,66,43,10,60,4741,112,4,100,79,3,2,5,11,71,88,StillTarheeb_1087,31,Tarheeb,224,1087,73,29,Sicklerville,10,91,29,90,17,18,80,19134,15,64,0,55,-31,57,72,77,1,Still,80,100,26,99,79,71,27,32,66,66,26,84,16,1087,80,8,10,9,6,0,13,15,14,3,75,91,103,9,9,36,1,89,85,20,0,56,10255,6,60,10,11,1,76,26,27,11,383,11,4,36,383,36,50,1,26,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56,16,1,8,0,0,0,114,9,9,0,0,0,0,0,0,0,0,0
6,0,65,33,60,79,25,10,76,12,45,2085,157,0,196,30,0,17,2,2,90,50,HankinsJohnathan_1088,51,Johnathan,186,1088,74,21,Dearborn Heights,10,89,97,74,10,11,10,61748,19,16,0,65,-31,92,11,20,1,Hankins,10,100,71,99,78,78,12,40,15,15,35,29,3,1088,73,45,45,45,6,0,45,45,45,5,0,0,0,0,0,0,2,73,79,15,0,90,5846,6,82,6,6,1,76,9,10,6,0,16,0,0,0,160,50,12,10,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
3,0,90,23,83,73,43,35,60,12,61,9049,123,4,80,76,3,16,5,7,80,71,CarliesJaylon_1089,62,Jaylon,157,1089,75,8,Orlando,10,93,57,83,13,14,10,27709,26,64,0,86,-31,71,56,60,1,Carlies,70,100,51,99,69,78,12,42,67,55,45,70,8,1089,70,35,35,35,8,0,40,45,40,2,61,78,90,2,2,8,1,89,82,20,0,72,10028,6,77,15,16,1,85,35,22,9,330,8,4,8,330,67,50,1,15,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,15,1,10,0,0,2,101,2,2,0,0,0,0,0,0,0,0,0
1,0,93,24,85,59,65,59,40,12,57,6738,160,0,80,72,0,18,5,31,72,80,PrinceDeantre_1090,29,De'Antre,224,1090,72,23,Charleston,10,92,24,89,13,21,60,25788,15,58,0,67,-31,42,72,64,1,Prince,71,100,22,99,61,72,29,30,61,66,32,67,40,1090,67,22,31,23,6,0,24,30,25,3,0,0,0,0,0,0,1,93,85,10,0,53,10214,6,63,8,10,1,89,36,27,9,0,17,0,0,0,23,50,1,42,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56,16,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,91,25,89,60,62,59,66,26,62,2079,253,1,23,64,1,26,5,31,87,85,HamptonDominique_1091,30,Dominique,287,1091,75,9,Atlanta,10,92,43,92,21,25,45,52028,42,59,0,89,-31,70,71,63,1,Hampton,73,100,40,99,59,78,33,57,60,66,59,68,30,1091,67,25,31,29,9,0,40,41,39,13,23,0,0,0,0,0,1,91,83,15,0,70,10096,12,76,13,19,1,91,35,27,15,23,8,1,0,23,60,50,1,35,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,15,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,76,24,67,72,10,5,21,9,25,3458,53,4,80,27,3,28,5,5,60,57,MonkJacob_1092,21,Jacob,273,1092,75,32,Clayton,15,94,62,73,19,25,10,8893,80,22,0,39,-31,80,10,11,1,Monk,9,100,23,99,26,36,12,10,26,10,15,10,8,1092,65,69,70,68,9,0,73,69,65,5,61,78,90,2,2,8,2,69,84,1,0,83,10185,10,28,11,15,1,85,30,25,8,330,9,4,8,330,148,50,1,15,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,7,1,20,0,0,3,101,2,2,0,0,0,0,0,0,0,0,0
3,0,92,25,81,74,78,73,32,25,69,3337,167,4,97,82,3,35,5,70,55,80,MeansBub_1095,10,Bub,282,1095,74,27,Las Vegas,10,90,16,90,15,19,32,6460,32,80,0,34,-31,47,80,20,1,Means,15,100,10,99,21,33,68,58,81,70,54,29,71,1095,70,31,35,23,6,0,37,44,30,13,75,91,103,6,6,24,1,91,81,20,0,67,10422,15,36,15,20,1,82,35,40,15,383,16,4,24,383,55,50,1,73,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,3,1,27,0,0,0,114,6,6,0,0,0,0,0,0,0,0,0
1,0,94,23,83,60,66,57,54,23,57,9106,314,4,97,73,3,41,5,16,60,81,StiggersQwantez_1096,34,Qwan'tez,177,1096,72,9,Atlanta,10,92,37,86,15,15,55,16446,32,61,0,68,-31,56,69,69,1,Stiggers,60,100,26,99,62,70,24,45,64,65,34,69,21,1096,67,24,30,25,15,0,31,35,30,3,75,91,103,6,6,24,1,91,84,15,0,60,10468,15,64,18,22,1,83,36,31,21,383,22,4,24,383,37,50,2,24,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56,16,1,18,0,0,0,114,6,6,0,0,0,0,0,0,0,0,0
4,0,73,25,78,70,26,20,75,12,38,2843,90,4,96,40,3,2,6,3,55,69,LeeLogan_1097,68,Logan,36,1097,77,12,Orion,10,90,91,77,10,16,10,25276,18,24,0,81,-31,81,19,17,1,Lee,21,100,73,99,68,79,13,30,23,14,32,26,7,1097,70,45,45,45,6,0,45,45,45,5,75,91,103,5,5,20,2,71,84,15,0,83,10154,6,81,6,6,1,88,22,23,6,383,10,4,20,383,126,50,1,12,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,1,29,0,0,2,114,5,5,0,0,0,0,0,0,0,0,0
1,0,90,24,79,68,75,65,21,29,72,5234,85,4,80,83,3,11,6,68,43,82,WashingtonCasey_1098,10,Casey,124,1098,72,42,Round Rock,10,87,82,91,11,16,43,12605,25,76,0,19,-31,44,79,11,1,Washington,13,100,10,99,16,26,66,58,79,71,42,16,69,1098,66,18,30,22,27,0,30,43,23,11,61,78,90,2,2,8,1,90,82,15,0,60,10984,29,21,32,40,1,82,27,55,36,330,30,4,8,330,40,50,1,70,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,3,1,14,0,0,0,101,2,2,0,0,0,0,0,0,0,0,0
5,0,89,24,78,63,57,52,63,12,55,2253,161,4,96,64,3,12,6,5,87,75,HillJamal_1104,59,Jamal,284,1104,72,9,Rex,10,90,56,80,11,18,35,8637,35,56,0,77,-31,65,65,60,1,Hill,55,100,51,99,61,79,20,45,60,60,48,69,10,1104,66,35,35,35,11,0,40,45,40,3,75,91,103,5,5,20,1,91,81,30,0,65,10396,21,78,23,24,1,83,14,28,14,383,13,4,20,383,66,50,1,15,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52,14,1,32,0,0,2,114,5,5,1,0,0,0,0,0,0,0,0
3,0,94,25,80,63,78,75,20,25,66,3783,225,1,23,80,1,15,6,68,63,81,PalmerTejhaun_1106,10,Tejhaun,232,1106,73,48,Milwaukee,10,89,83,84,15,19,34,39484,30,77,0,26,-31,45,76,18,1,Palmer,15,100,10,99,16,28,67,56,79,70,61,16,69,1106,66,19,23,15,6,0,36,39,30,11,23,0,0,0,0,0,1,91,80,10,0,69,10435,15,29,15,20,1,85,35,25,15,23,16,1,0,23,50,50,1,70,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,69,25,55,67,10,10,76,12,40,556,151,4,80,30,3,23,6,6,45,50,BoydKhristian_1108,67,Khristian,142,1108,74,24,Kansas City,10,88,97,71,21,26,15,47292,25,10,0,80,-31,86,10,12,1,Boyd,10,100,69,99,68,76,12,32,12,10,28,20,10,1108,70,45,47,45,6,0,45,45,45,5,61,78,90,2,2,8,2,63,83,15,0,88,10365,6,82,6,6,1,89,25,29,6,330,10,4,8,330,160,50,1,15,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,1,27,0,0,3,101,2,2,0,0,0,0,0,0,0,0,0
2,0,92,24,80,61,65,61,45,17,55,9,111,0,103,78,0,25,6,21,40,79,AbrahamMicah_1116,34,Micah,207,1116,70,8,Tampa,10,88,45,76,22,21,55,23996,10,66,0,51,-31,38,70,72,1,Abraham,57,100,30,99,66,67,25,42,69,66,34,68,23,1116,67,25,33,24,15,0,32,35,31,8,0,0,0,0,0,0,1,91,85,25,0,53,11057,6,54,10,15,1,76,30,25,13,0,16,0,0,0,25,50,1,25,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54,16,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,69,25,50,69,10,11,37,9,22,1892,362,4,95,25,3,26,6,5,51,51,GloverTravis_1118,35,Travis,273,1118,78,9,Vienna,10,95,79,69,8,9,10,35772,79,10,0,40,0,80,10,9,1,Glover,10,0,42,99,24,38,12,24,12,10,21,8,7,1118,64,68,69,70,6,0,69,73,68,15,75,91,103,4,4,16,0,63,83,10,0,86,10387,6,44,8,11,1,87,35,19,7,383,5,4,16,383,157,50,1,10,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,9,1,20,0,0,2,114,4,4,1,0,0,0,0,0,0,0,0
4,0,81,25,73,68,52,34,45,49,57,9068,226,4,95,51,3,28,6,33,66,65,GrableTylan_1119,46,Tylan,186,1119,77,9,Gordon,10,90,68,87,13,13,10,9403,79,49,0,52,-31,79,46,12,1,Grable,10,100,57,99,42,51,51,57,55,44,58,13,35,1119,63,69,69,70,35,0,70,70,67,15,75,91,103,4,4,16,2,74,81,38,0,81,10087,45,48,48,52,1,79,10,57,39,383,35,4,16,383,149,50,1,43,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,5,1,13,0,0,2,114,4,4,0,0,0,0,0,0,0,0,0
6,0,81,26,53,53,13,13,31,12,24,9071,418,4,88,23,3,31,6,7,35,54,JerrellMichael_1120,18,Michael,268,1120,77,13,Indianapolis,10,93,72,79,17,18,10,37819,84,20,0,33,-31,78,10,9,1,Jerrell,10,100,12,99,15,34,15,10,19,10,25,12,11,1120,65,75,70,66,5,0,74,72,70,15,67,88,103,16,0,16,0,74,76,10,0,82,10401,5,36,5,5,1,88,25,16,7,377,10,4,16,377,134,50,1,12,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,9,0,28,0,0,3,119,0,0,1,0,0,0,0,0,0,0,0
1,0,89,25,88,62,81,73,26,20,85,9076,266,4,80,75,3,32,6,59,18,90,LaubeDylan_1122,10,Dylan,82,1122,70,31,Westhampton,10,91,23,84,25,25,82,30139,28,65,0,22,0,34,78,11,1,Laube,15,0,10,99,13,32,63,71,63,73,75,16,64,1122,68,25,50,30,10,0,25,31,28,1,61,78,90,2,2,8,0,88,91,0,0,67,10151,10,27,10,15,1,92,30,27,10,330,17,4,8,330,48,50,1,70,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,23,0,0,0,101,2,2,1,0,0,0,0,0,0,0,0
1,0,92,25,84,78,78,76,28,24,72,9063,189,1,103,89,1,40,6,75,36,82,FlournoyRyan_1124,10,Ryan,261,1124,73,12,Hazel Crest,10,82,19,91,15,19,27,56507,35,80,0,29,-31,52,78,13,1,Flournoy,15,100,10,99,15,34,77,62,82,68,48,18,77,1124,76,22,33,28,6,0,28,52,33,11,103,0,0,0,0,0,1,92,81,20,0,62,10074,15,31,15,20,1,80,35,29,15,103,20,1,0,103,40,50,1,78,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,77,25,66,62,25,10,28,9,28,9074,232,1,103,25,1,39,6,5,20,64,KingstonJarrett_1125,25,Jarrett,59,1125,76,4,Redding,15,92,63,77,11,15,10,5563,79,15,0,27,-31,80,15,10,1,Kingston,8,100,24,99,25,34,10,29,21,13,25,12,5,1125,67,67,69,71,6,0,66,70,71,5,103,0,0,0,0,0,2,72,83,0,0,90,10143,6,25,7,8,1,82,32,20,7,103,11,1,0,103,148,50,1,10,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,6,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
